GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/util,com.ocarlsen.logging.http,HeaderMatchers.new BaseMatcher() {...},8,80,5,5,4,15,5,4,0,4
report/util,com.ocarlsen.logging.http,HeaderMatchers,3,16,0,0,1,3,1,3,1,3
report/util,com.ocarlsen.logging.http,HeaderArgumentMatchers,3,140,0,14,1,33,1,16,1,9
report/util,com.ocarlsen.logging.http,HeaderMatchers.new BaseMatcher() {...},2,44,1,5,1,10,1,5,0,3
report/util,com.ocarlsen.logging.http,GzipContentEnablingEntity,0,21,0,0,0,6,0,2,0,2
report/util,com.ocarlsen.logging.http,HeaderMatchers.new BaseMatcher() {...},8,58,4,4,4,13,4,3,0,3
report/client-apache,com.ocarlsen.logging.http.client.apache,RequestLoggingInterceptor,2,149,3,11,0,36,3,10,0,6
report/client-apache,com.ocarlsen.logging.http.client.apache,ResponseLoggingInterceptor,2,135,3,9,0,32,3,9,0,6
report/client-spring,com.ocarlsen.logging.http.client.spring,ResponseLoggingInterceptor,0,47,0,0,0,12,0,5,0,5
report/client-spring,com.ocarlsen.logging.http.client.spring,RequestLoggingInterceptor,0,56,0,2,0,12,0,6,0,5
report/server-javaee,com.ocarlsen.logging.http.server.javaee,CachingServletOutputStream,0,44,0,0,0,16,0,7,0,7
report/server-javaee,com.ocarlsen.logging.http.server.javaee,RequestLoggingFilter,0,142,3,3,0,31,3,10,0,10
report/server-javaee,com.ocarlsen.logging.http.server.javaee,ByteArrayHttpServletRequest,0,81,2,8,0,21,2,8,0,5
report/server-javaee,com.ocarlsen.logging.http.server.javaee,ResponseLoggingFilter,0,118,1,1,0,26,1,10,0,10
report/server-javaee,com.ocarlsen.logging.http.server.javaee,CachingHttpServletResponse,0,104,2,14,0,28,2,12,0,6
report/server-javaee,com.ocarlsen.logging.http.server.javaee,ByteArrayServletInputStream,0,37,0,2,0,11,0,8,0,7
report/server-jdk,com.ocarlsen.logging.http.server.jdk,RequestLoggingFilter,12,161,1,7,3,39,1,12,0,9
report/server-jdk,com.ocarlsen.logging.http.server.jdk,ResponseLoggingFilter,0,91,0,0,0,22,0,8,0,8
report/server-jdk,com.ocarlsen.logging.http.server.jdk,CachingOutputStream,0,38,0,0,0,14,0,5,0,5
